"flip";"us_symbol";"in_symbol";"us_date";"in_date";"us_open";"us_close";"in_open";"in_close";"us_perf";"in_perf"
"in->us";"WIT";"WIPRO";"2007-07-13";"2007-07-13";4,2865;4,2974;519;512,6;0,00254286714102402;-0,0123314065510597
"in->us";"WIT";"WIPRO";"2007-07-16";"2007-07-16";4,2513;4,2215;514,9;500,7;-0,00700962058664405;-0,0275781705185473
"in->us";"WIT";"WIPRO";"2007-07-17";"2007-07-17";4,2052;4,2459;500;505,6;0,00967849329401698;0,0112
"in->us";"WIT";"WIPRO";"2007-07-18";"2007-07-18";4,2594;4,2134;505;504,45;-0,0107996431422267;-0,00108910891089111
"in->us";"WIT";"WIPRO";"2007-07-19";"2007-07-19";4,2513;4,2838;501;505,4;0,00764472043845427;0,00878243512974047
"in->us";"WIT";"WIPRO";"2007-07-20";"2007-07-20";4,2377;4,1836;507;505,05;-0,0127663591098945;-0,00384615384615382
"in->us";"WIT";"WIPRO";"2007-07-23";"2007-07-23";4,2134;4,2405;505,05;507,8;0,00643186025537568;0,00544500544500544
"in->us";"WIT";"WIPRO";"2007-07-24";"2007-07-24";4,2025;4,17;508,1;506,5;-0,00773349196906597;-0,00314898641999611
"in->us";"WIT";"WIPRO";"2007-07-25";"2007-07-25";4,2188;4,2025;508;498,95;-0,00386365791220257;-0,0178149606299213
"in->us";"WIT";"WIPRO";"2007-07-26";"2007-07-26";4,17;4,0508;506;511,65;-0,0285851318944845;0,0111660079051383
"in->us";"WIT";"WIPRO";"2007-07-27";"2007-07-27";4,0129;4,0156;506;493,45;0,000672830122853778;-0,024802371541502
"in->us";"WIT";"WIPRO";"2007-07-30";"2007-07-30";4,086;4,0725;493;493,7;-0,00330396475770938;0,00141987829614602
"in->us";"WIT";"WIPRO";"2007-07-31";"2007-07-31";4,1267;3,956;494;495,65;-0,041364770882303;0,00334008097165987
"in->us";"WIT";"WIPRO";"2007-08-01";"2007-08-01";3,956;3,9072;495;475,7;-0,0123356926188069;-0,038989898989899
"in->us";"WIT";"WIPRO";"2007-08-02";"2007-08-02";3,8692;3,9343;480;462,25;0,0168251835004651;-0,0369791666666667
"in->us";"WIT";"WIPRO";"2007-08-03";"2007-08-03";3,9966;3,7798;469;470,25;-0,0542461091928139;0,00266524520255864
"in->us";"WIT";"WIPRO";"2007-08-06";"2007-08-06";3,7392;3,7446;461,3;457,85;0,00144415917843397;-0,00747886407977453
"in->us";"WIT";"WIPRO";"2007-08-07";"2007-08-07";3,7419;3,7256;465;459,3;-0,00435607579037381;-0,012258064516129
"in->us";"WIT";"WIPRO";"2007-08-08";"2007-08-08";3,8151;3,8909;467,35;476,25;0,0198684176037324;0,0190435433829036
"in->us";"WIT";"WIPRO";"2007-08-09";"2007-08-09";3,8611;3,8015;483,1;478;-0,0154360156432105;-0,010556820534051
"in->us";"WIT";"WIPRO";"2007-08-10";"2007-08-10";3,7283;3,7148;469;480,25;-0,00362095324947029;0,0239872068230277
"in->us";"WIT";"WIPRO";"2007-08-13";"2007-08-13";3,7907;3,8232;480;480,35;0,00857361437201566;0,000729166666666714
"in->us";"WIT";"WIPRO";"2007-08-14";"2007-08-14";3,8828;3,7256;484;481,15;-0,0404862470382198;-0,00588842975206616
"in->us";"WIT";"WIPRO";"2007-08-16";"2007-08-16";3,5766;3,5604;469;469,35;-0,00452944136889783;0,000746268656716466
"in->us";"WIT";"WIPRO";"2007-08-17";"2007-08-17";3,7907;3,7446;475;475,5;-0,0121613422323054;0,00105263157894737
"in->us";"WIT";"WIPRO";"2007-08-20";"2007-08-20";3,7825;3,7365;480;469,5;-0,0121612690019829;-0,021875
"in->us";"WIT";"WIPRO";"2007-08-21";"2007-08-21";3,685;3,6145;475;446,8;-0,0191316146540027;-0,0593684210526316
"in->us";"WIT";"WIPRO";"2007-08-22";"2007-08-22";3,6742;3,6985;449,5;453,55;0,00661368461161619;0,00901001112347055
"in->us";"WIT";"WIPRO";"2007-08-23";"2007-08-23";3,7419;3,6606;460;448,4;-0,0217269301691653;-0,0252173913043479
"in->us";"WIT";"WIPRO";"2007-08-24";"2007-08-24";3,704;3,7121;448;455,55;0,00218682505399562;0,0168526785714286
"in->us";"WIT";"WIPRO";"2007-08-27";"2007-08-27";3,7013;3,7961;463;464,55;0,0256126225920623;0,00334773218142551
"in->us";"WIT";"WIPRO";"2007-08-28";"2007-08-28";3,8584;3,6606;464;467,45;-0,0512647729628862;0,00743534482758618
"in->us";"WIT";"WIPRO";"2007-08-29";"2007-08-29";3,7311;3,8096;462;470,2;0,0210393717670392;0,0177489177489177
"in->us";"WIT";"WIPRO";"2007-08-30";"2007-08-30";3,7527;3,8069;480;476,25;0,0144429344205506;-0,0078125
"in->us";"WIT";"WIPRO";"2007-08-31";"2007-08-31";3,8692;3,9641;478;482,25;0,0245270340121989;0,00889121338912134
"in->us";"WIT";"WIPRO";"2007-09-04";"2007-09-04";3,872;3,9966;476,5;465,95;0,0321797520661157;-0,0221406086044072
"in->us";"WIT";"WIPRO";"2007-09-05";"2007-09-05";4,0643;3,872;470;472,8;-0,0473144206874493;0,00595744680851066
"in->us";"WIT";"WIPRO";"2007-09-06";"2007-09-06";3,872;3,8936;470;477,95;0,00557851239669429;0,0169148936170213
"in->us";"WIT";"WIPRO";"2007-09-07";"2007-09-07";3,8205;3,8259;480;478,4;0,00141342756183742;-0,00333333333333338
"in->us";"WIT";"WIPRO";"2007-09-10";"2007-09-10";3,8096;3,7446;470;466,95;-0,0170621587568249;-0,00648936170212768
"in->us";"WIT";"WIPRO";"2007-09-11";"2007-09-11";3,7663;3,7582;469;455,5;-0,00215065183336437;-0,0287846481876333
"in->us";"WIT";"WIPRO";"2007-09-12";"2007-09-12";3,7582;3,75;460;452,6;-0,00218189558831355;-0,0160869565217391
"in->us";"WIT";"WIPRO";"2007-09-13";"2007-09-13";3,8069;3,7392;453;457,45;-0,0177834983845124;0,00982339955849887
"in->us";"WIT";"WIPRO";"2007-09-14";"2007-09-14";3,7121;3,7013;463;450,25;-0,00290940438026997;-0,0275377969762419
"in->us";"WIT";"WIPRO";"2007-09-17";"2007-09-17";3,6742;3,7067;451;449,45;0,00884546295792287;-0,00343680709534371
"in->us";"WIT";"WIPRO";"2007-09-18";"2007-09-18";3,685;3,8692;450,5;444;0,0499864314789688;-0,0144284128745838
"in->us";"WIT";"WIPRO";"2007-09-19";"2007-09-19";3,8747;3,853;455;448,15;-0,00560043358195463;-0,0150549450549451
"in->us";"WIT";"WIPRO";"2007-09-20";"2007-09-20";3,7311;3,7473;449;433,5;0,00434188309077752;-0,0345211581291759
"in->us";"WIT";"WIPRO";"2007-09-21";"2007-09-21";3,769;3,7663;433;439,9;-0,000716370390023859;0,0159353348729792
"in->us";"WIT";"WIPRO";"2007-09-24";"2007-09-24";3,769;3,7446;440;442,75;-0,00647386574688246;0,00625
"in->us";"WIT";"WIPRO";"2007-09-25";"2007-09-25";3,7013;3,7663;444,5;435,75;0,0175613973468782;-0,0196850393700787
"in->us";"WIT";"WIPRO";"2007-09-26";"2007-09-26";3,834;3,8774;440;454,6;0,0113197704747001;0,0331818181818182
"in->us";"WIT";"WIPRO";"2007-09-27";"2007-09-27";3,937;3,9966;460;460,35;0,0151384302768606;0,000760869565217441
"in->us";"WIT";"WIPRO";"2007-09-28";"2007-09-28";3,9939;3,9126;464,95;459,85;-0,0203560429655225;-0,0109689213893966
"in->us";"WIT";"WIPRO";"2007-10-01";"2007-10-01";3,8963;3,9966;465;453,95;0,0257423709673279;-0,0237634408602151
"in->us";"WIT";"WIPRO";"2007-10-03";"2007-10-03";4,0589;3,9722;455;470,65;-0,021360467121634;0,0343956043956043
"in->us";"WIT";"WIPRO";"2007-10-04";"2007-10-04";3,9587;4,0345;461;461,3;0,0191477000025262;0,000650759219088962
"in->us";"WIT";"WIPRO";"2007-10-05";"2007-10-05";4,0616;4,1212;465;461,15;0,0146740200906046;-0,00827956989247317
"in->us";"WIT";"WIPRO";"2007-10-08";"2007-10-08";4,1321;4,0996;462,2;469,65;-0,00786525011495381;0,0161185633924708
"in->us";"WIT";"WIPRO";"2007-10-09";"2007-10-09";4,1456;4,2323;470;489,3;0,0209137398687766;0,0410638297872341
"in->us";"WIT";"WIPRO";"2007-10-10";"2007-10-10";4,2676;4,3434;490;503,15;0,0177617396194583;0,0268367346938775
"in->us";"WIT";"WIPRO";"2007-10-11";"2007-10-11";4,2052;4,0752;499;488,1;-0,0309141063445258;-0,0218436873747495
