"","flip","us_symbol","in_symbol","us_date","in_date","us_open","us_close","in_open","in_close","us_perf","in_perf","cor_10","cor_20","cor_30","cor_60","cor_90","cor_120"
"1","in->us","WIT","WIPRO",13707,13707,4.2865,4.2974,519,512.6,0.00254286714102402,-0.0123314065510597,0,0,0,0,0,0
"2","in->us","WIT","WIPRO",13710,13710,4.2513,4.2215,514.9,500.7,-0.00700962058664405,-0.0275781705185473,0,0,0,0,0,0
"3","in->us","WIT","WIPRO",13711,13711,4.2052,4.2459,500,505.6,0.00967849329401698,0.0112,0,0,0,0,0,0
"4","in->us","WIT","WIPRO",13712,13712,4.2594,4.2134,505,504.45,-0.0107996431422267,-0.00108910891089111,1,1,1,1,1,1
"5","in->us","WIT","WIPRO",13713,13713,4.2513,4.2838,501,505.4,0.00764472043845427,0.00878243512974047,1,1,1,1,1,1
"6","in->us","WIT","WIPRO",13714,13714,4.2377,4.1836,507,505.05,-0.0127663591098945,-0.00384615384615382,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"7","in->us","WIT","WIPRO",13717,13717,4.2134,4.2405,505.05,507.8,0.00643186025537568,0.00544500544500544,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667
"8","in->us","WIT","WIPRO",13718,13718,4.2025,4.17,508.1,506.5,-0.00773349196906597,-0.00314898641999611,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667
"9","in->us","WIT","WIPRO",13719,13719,4.2188,4.2025,508,498.95,-0.00386365791220257,-0.0178149606299213,0.733333333333333,0.619047619047619,0.619047619047619,0.619047619047619,0.619047619047619,0.619047619047619
"10","in->us","WIT","WIPRO",13720,13720,4.17,4.0508,506,511.65,-0.0285851318944845,0.0111660079051383,0.619047619047619,0.5,0.5,0.5,0.5,0.5
"11","in->us","WIT","WIPRO",13721,13721,4.0129,4.0156,506,493.45,0.000672830122853778,-0.024802371541502,0.5,0.444444444444445,0.444444444444445,0.444444444444445,0.444444444444445,0.444444444444445
"12","in->us","WIT","WIPRO",13724,13724,4.086,4.0725,493,493.7,-0.00330396475770938,0.00141987829614602,-0.0476190476190476,0.163636363636364,0.163636363636364,0.163636363636364,0.163636363636364,0.163636363636364
"13","in->us","WIT","WIPRO",13725,13725,4.1267,3.956,494,495.65,-0.041364770882303,0.00334008097165987,-0.333333333333333,0.163636363636364,0.163636363636364,0.163636363636364,0.163636363636364,0.163636363636364
"14","in->us","WIT","WIPRO",13726,13726,3.956,3.9072,495,475.7,-0.0123356926188069,-0.038989898989899,-0.2,0.212121212121212,0.212121212121212,0.212121212121212,0.212121212121212,0.212121212121212
"15","in->us","WIT","WIPRO",13727,13727,3.8692,3.9343,480,462.25,0.0168251835004651,-0.0369791666666667,-0.238095238095238,0.128205128205128,0.128205128205128,0.128205128205128,0.128205128205128,0.128205128205128
"16","in->us","WIT","WIPRO",13728,13728,3.9966,3.7798,469,470.25,-0.0542461091928139,0.00266524520255864,-0.0714285714285714,0.186813186813187,0.186813186813187,0.186813186813187,0.186813186813187,0.186813186813187
"17","in->us","WIT","WIPRO",13731,13731,3.7392,3.7446,461.3,457.85,0.00144415917843397,-0.00747886407977453,-0.428571428571429,0.00952380952380952,0,0,0,0
"18","in->us","WIT","WIPRO",13732,13732,3.7419,3.7256,465,459.3,-0.00435607579037381,-0.012258064516129,-0.466666666666667,0.010989010989011,0,0,0,0
"19","in->us","WIT","WIPRO",13733,13733,3.8151,3.8909,467.35,476.25,0.0198684176037324,0.0190435433829036,-0.466666666666667,-0.142857142857143,-0.0147058823529412,-0.0147058823529412,-0.0147058823529412,-0.0147058823529412
