Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,251.40,257.25,251.40,255.30,256.032025513339006869,1479383,7209,378769426.00,394407,26.66,5.85,3.90
29-December-2016,254.00,254.00,250.20,251.15,251.249216960145208238,361412,3647,90804482.00,105222,29.11,3.80,-2.85
28-December-2016,254.00,254.90,251.00,251.60,252.953080910560857296,504656,4409,127654290.00,96764,19.17,3.90,-2.40
27-December-2016,249.00,254.45,246.90,253.30,250.166096506855764029,541661,4305,135505218.00,116155,21.44,7.55,4.30
26-December-2016,251.10,252.00,247.20,248.40,248.806231652050536495,428522,4302,106618944.00,129042,30.11,4.80,-2.70
23-December-2016,253.55,254.70,250.20,251.95,252.958932048690901372,541785,5158,137049355.00,173531,32.03,4.50,-1.60
22-December-2016,253.00,254.90,250.65,253.00,252.695905034539356773,619004,4895,156419776.00,195235,31.54,4.25,0.00
21-December-2016,252.40,255.15,251.30,253.35,253.518534481206202931,832961,5280,211171052.00,432136,51.88,3.85,0.95
20-December-2016,257.20,257.20,250.20,251.60,252.695324540811421802,644942,7663,162973828.00,237405,36.81,7.00,-5.60
19-December-2016,256.00,258.95,255.00,257.20,257.943968205423427961,1334064,4046,344113762.00,873537,65.48,3.95,1.20
16-December-2016,258.40,259.95,255.00,255.60,256.693987430420312912,746087,6319,191516047.00,378413,50.72,4.95,-2.80
15-December-2016,259.00,261.60,257.60,260.35,260.236806264128030980,3102874,7131,807482020.00,2476402,79.81,4.00,1.35
14-December-2016,265.00,265.00,260.05,260.65,262.067537262780658648,368330,4535,96527336.00,157356,42.72,4.95,-4.35
13-December-2016,263.00,265.50,262.50,264.75,264.372539270351746196,478669,4542,126546939.00,127091,26.55,3.00,1.75
12-December-2016,268.70,268.70,263.95,264.65,265.732698580981895286,490480,5554,130336574.00,119704,24.41,4.75,-4.05
9-December-2016,263.75,269.50,263.00,268.35,265.583348052740501731,2117386,10217,562342463.00,1209491,57.12,6.50,4.60
8-December-2016,260.80,263.05,258.70,262.20,261.173990001396081664,601684,5227,157144211.00,142079,23.61,4.35,1.40
