Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,471.25,475.00,467.55,471.35,471.093629703216192723,354332,5585,166923548.00,74044,20.90,7.45,0.10
29-December-2016,464.90,472.40,459.35,470.75,465.659568318921026676,217985,3336,101506801.00,41076,18.84,13.05,5.85
28-December-2016,467.00,467.85,462.00,463.15,464.075566630158737750,209087,4215,97032168.00,42241,20.20,5.85,-3.85
27-December-2016,459.05,467.90,457.60,466.50,462.425857281239909589,232275,3724,107409966.00,32245,13.88,10.30,7.45
26-December-2016,464.25,464.55,455.80,458.30,458.990301055922862607,228994,4278,105106025.00,51740,22.59,8.75,-5.95
23-December-2016,466.40,468.30,460.00,466.15,464.399417977128960419,365965,3959,169953933.00,72810,19.90,8.30,-0.25
22-December-2016,468.80,472.90,465.25,469.65,469.123249055432577251,389861,7074,182892859.00,90294,23.16,7.65,0.85
21-December-2016,472.80,474.85,467.50,468.75,470.012698253865012257,199870,3117,93941438.00,39773,19.90,7.35,-4.05
20-December-2016,472.55,475.00,469.50,472.80,472.358057979405318225,241810,4058,114220902.00,36700,15.18,5.50,0.25
19-December-2016,471.00,478.15,465.80,471.70,472.880166074587371898,342015,6106,161732110.00,57892,16.93,12.35,0.70
16-December-2016,464.05,475.00,464.05,472.50,471.616461145082338958,511544,8767,241252571.00,121447,23.74,10.95,8.45
15-December-2016,469.05,473.20,462.00,463.45,466.978926094661627972,494308,6939,230831419.00,130760,26.45,11.20,-5.60
14-December-2016,471.95,476.60,462.80,472.60,472.048476083709556694,590518,7863,278753122.00,111597,18.90,13.80,0.65
13-December-2016,476.80,477.00,461.80,470.35,468.075071944445030645,1421583,15743,665407565.00,244352,17.19,15.20,-6.45
12-December-2016,463.50,463.50,451.05,454.55,455.305661070947187844,293796,4176,133766982.00,60114,20.46,12.45,-8.95
9-December-2016,462.55,468.40,460.40,464.05,464.612580828381684725,366208,5974,170144844.00,71544,19.54,8.00,1.50
8-December-2016,449.00,464.80,449.00,461.30,460.620554681079273983,789679,10784,363742379.00,183228,23.20,15.80,12.30
7-December-2016,440.00,448.90,439.25,445.25,445.188677076294591161,356657,5047,158779658.00,60148,16.86,9.65,5.25
