Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,103.75,105.75,103.75,103.90,104.529684533372279830,27388,179,2862859.00,11361,41.48,2.00,0.15
29-December-2016,104.00,104.55,103.55,103.95,104.124369200716262412,6143,160,639636.00,3585,58.36,1.00,-0.05
28-December-2016,103.60,104.20,103.30,103.55,103.841431533399441088,11093,58,1151913.00,8884,80.09,0.90,-0.05
27-December-2016,103.90,104.00,103.35,103.60,103.601936619718309859,5680,114,588459.00,3228,56.83,0.65,-0.30
26-December-2016,103.60,104.00,103.00,103.15,103.325908558030480656,4265,64,440685.00,2619,61.41,1.00,-0.45
23-December-2016,103.60,103.80,103.15,103.20,103.328391401037805782,5396,75,557560.00,2755,51.06,0.65,-0.40
22-December-2016,103.75,103.90,102.60,103.30,103.396864980406127538,2807,54,290235.00,1262,44.96,1.30,-0.45
21-December-2016,103.65,104.15,103.05,103.30,103.467341188524590163,7808,96,807873.00,4034,51.66,1.10,-0.35
20-December-2016,104.00,104.25,103.00,103.10,103.340239559728067335,6178,70,638436.00,3574,57.85,1.25,-0.90
19-December-2016,105.00,105.00,103.00,103.40,103.537126647755715000,5993,109,620498.00,3088,51.53,2.00,-1.60
16-December-2016,103.90,104.25,103.45,103.65,103.738543174143753014,4146,54,430100.00,2265,54.63,0.80,-0.25
15-December-2016,103.90,104.00,103.50,103.90,103.902819600328497125,3653,34,379557.00,1207,33.04,0.50,0.00
14-December-2016,103.70,104.30,100.20,103.55,103.569750367107195301,5448,77,564248.00,2648,48.60,4.10,-0.15
13-December-2016,104.00,104.30,103.50,103.75,103.963541666666666666,384,24,39922.00,205,53.39,0.80,-0.25
12-December-2016,103.75,104.50,103.75,104.20,104.258017492711370262,2744,74,286084.00,1620,59.04,0.75,0.45
9-December-2016,104.30,104.30,103.55,103.75,103.899534105841595986,8371,87,869743.00,5299,63.30,0.75,-0.55
8-December-2016,103.45,107.00,103.45,104.45,104.574757172533827410,17811,246,1862581.00,9256,51.97,3.55,1.00
7-December-2016,103.30,104.10,103.25,103.50,103.534604519774011299,2832,49,293210.00,1751,61.83,0.85,0.20
6-December-2016,103.50,103.95,103.40,103.50,103.584940652818991097,2696,38,279265.00,1911,70.88,0.55,0.00
5-December-2016,103.60,103.75,103.30,103.40,103.441300191204588910,2615,35,270499.00,1244,47.57,0.45,-0.20
2-December-2016,103.60,104.05,103.20,103.45,103.518775063798760481,2743,42,283952.00,2099,76.52,0.85,-0.15
1-December-2016,103.80,104.25,103.45,103.60,103.796435272045028142,2132,35,221294.00,1359,63.74,0.80,-0.20
30-November-2016,103.85,104.00,103.25,103.75,103.621762208067940552,9420,117,976117.00,5446,57.81,0.75,-0.10
29-November-2016,103.85,104.00,103.35,103.85,103.829123283987870277,66943,100,6950633.00,65003,97.10,0.65,0.00
28-November-2016,103.90,104.20,103.55,103.85,103.861741567953702866,11059,82,1148607.00,7804,70.57,0.65,-0.05
25-November-2016,104.50,104.50,103.05,103.30,103.777217125382262996,19620,285,2036109.00,8512,43.38,1.45,-1.20
24-November-2016,103.60,104.25,101.00,103.40,103.312190503932420623,13732,151,1418683.00,8422,61.33,3.25,-0.20
23-November-2016,104.40,104.40,103.30,103.55,103.786317825511554514,19646,162,2038986.00,16622,84.61,1.10,-0.85
22-November-2016,103.60,104.00,103.05,103.20,103.367509774196122237,25066,199,2591010.00,20324,81.08,0.95,-0.40
21-November-2016,103.65,104.00,102.45,102.70,102.941025970686551812,77780,249,8006753.00,73789,94.87,1.55,-0.95
18-November-2016,103.60,104.00,103.30,103.65,103.703470311529244696,11267,95,1168427.00,6553,58.16,0.70,0.05
17-November-2016,103.80,104.15,102.00,103.10,103.363026124818577648,11024,218,1139474.00,5312,48.19,2.15,-0.70
16-November-2016,104.40,104.90,103.30,103.65,103.661881150354718132,131090,333,13589036.00,57352,43.75,1.60,-0.75
15-November-2016,101.80,104.20,100.10,103.30,103.364845906684165271,22097,436,2284053.00,12544,56.77,4.10,1.50
11-November-2016,104.00,104.50,103.60,104.05,103.978074996946378404,16374,124,1702537.00,8178,49.95,0.90,0.05
10-November-2016,104.40,104.60,103.35,103.80,104.099787890474354030,10372,122,1079723.00,5834,56.25,1.25,-0.60
9-November-2016,95.00,104.40,95.00,104.20,101.322232254122138190,291293,1029,29514457.00,62838,21.57,9.40,9.20
8-November-2016,104.35,104.40,103.45,103.80,103.902863293864370290,23225,90,2413144.00,20456,88.08,0.95,-0.55
7-November-2016,104.50,106.80,103.35,104.35,104.468799842473171211,152355,571,15916344.00,127553,83.72,3.45,-0.15
4-November-2016,104.35,104.35,103.10,103.90,103.880234498838408829,119233,354,12385952.00,112164,94.07,1.25,-0.45
3-November-2016,104.50,104.80,102.10,104.10,104.074093668908875620,119079,296,12393039.00,104969,88.15,2.70,-0.40
2-November-2016,103.70,109.00,103.30,103.95,105.632993045735428006,51623,758,5453092.00,13198,25.57,5.70,0.25
1-November-2016,104.25,104.25,103.00,103.65,103.653424219831717967,9389,300,973202.00,5728,61.01,1.25,-0.60
30-October-2016,104.75,104.75,103.70,103.85,103.921724137931034482,2900,51,301373.00,2314,79.79,1.05,-0.90
28-October-2016,104.00,104.35,103.50,103.85,103.810518488474278374,103551,149,10749683.00,99173,95.77,0.85,-0.15
27-October-2016,103.80,104.15,103.60,103.80,103.853178853081491578,10271,149,1066676.00,6638,64.63,0.55,0.00
26-October-2016,104.00,104.10,103.30,103.55,103.593222102022135308,48068,166,4979519.00,45222,94.08,0.80,-0.45
25-October-2016,106.95,106.95,103.55,103.95,103.964208685514427280,120085,173,12484542.00,69968,58.27,3.40,-3.00
24-October-2016,104.45,104.50,103.65,103.80,104.054721189591078066,6725,97,699768.00,5605,83.35,0.85,-0.65
21-October-2016,104.75,104.75,103.55,103.80,103.918274453007810479,19333,192,2009052.00,13754,71.14,1.20,-0.95
20-October-2016,104.75,105.05,103.25,104.15,104.379779099405267629,30602,195,3194230.00,23156,75.67,1.80,-0.60
19-October-2016,104.50,104.70,103.40,103.95,104.067374709591769000,18078,221,1881330.00,10339,57.19,1.30,-0.55
18-October-2016,104.80,105.70,103.70,103.95,104.122240635964628351,154474,382,16084179.00,131982,85.44,2.00,-0.85
17-October-2016,102.80,108.00,102.80,104.10,104.819457316445268252,116532,868,12214821.00,75935,65.16,5.20,1.30
14-October-2016,104.10,104.70,103.50,103.75,103.908090556507621538,11087,155,1152029.00,7098,64.02,1.20,-0.35
13-October-2016,104.10,104.50,103.50,104.10,103.969852909644495904,46638,347,4848946.00,25446,54.56,1.00,0.00
10-October-2016,104.65,105.00,103.60,104.20,104.186041170221928741,34831,376,3628904.00,23168,66.52,1.40,-0.45
7-October-2016,105.15,107.40,103.70,103.95,105.372150455927051671,68432,891,7210827.00,29713,43.42,3.70,-1.20
6-October-2016,105.00,114.90,104.20,104.90,107.620823971891949882,484701,4395,52163921.00,255787,52.77,10.70,-0.10
5-October-2016,104.00,111.80,103.90,104.40,106.861231709278018974,68409,878,7310270.00,24853,36.33,7.90,0.40
5-October-2016,104.00,111.80,103.90,104.40,106.861231709278018974,68409,878,7310270.00,24853,36.33,7.90,0.40
4-October-2016,104.40,104.60,103.65,103.85,104.218065887353878852,4705,90,490346.00,2105,44.74,0.95,-0.55
3-October-2016,104.20,104.60,103.70,104.30,104.282418999924121708,13179,221,1374338.00,7885,59.83,0.90,0.10
30-September-2016,103.90,104.10,103.35,104.00,103.931484034457203420,125489,175,13042258.00,59073,47.07,0.75,0.10
29-September-2016,104.75,104.75,102.60,103.90,103.652417517245684677,64074,537,6641425.00,41560,64.86,2.15,-0.85
28-September-2016,103.85,104.70,103.45,103.95,103.950008592869827569,52369,80,5443758.00,48724,93.04,1.25,0.10
27-September-2016,104.50,104.50,103.00,103.95,103.902213401871794037,276633,224,28742781.00,211879,76.59,1.50,-0.55
26-September-2016,103.45,104.50,103.45,103.75,103.794302930703916735,3651,76,378953.00,2894,79.27,1.05,0.30
23-September-2016,103.90,104.10,103.50,103.85,103.840126773214921275,59003,155,6126879.00,56097,95.07,0.60,-0.05
22-September-2016,104.65,104.65,103.45,103.70,104.003900871959614502,13074,162,1359747.00,6571,50.26,1.20,-0.95
21-September-2016,104.10,104.45,103.50,103.65,103.838541348794629234,65540,115,6805578.00,53632,81.83,0.95,-0.45
20-September-2016,104.35,105.50,103.50,103.60,104.048248985502064749,55939,260,5820355.00,49967,89.32,2.00,-0.75
