Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,473.00,476.50,471.05,474.00,473.655787721893491124,32448,1118,15369183.00,10756,33.15,5.45,1.00
29-December-2016,467.00,477.00,465.00,472.20,473.126067641705171777,78561,3134,37169257.00,23235,29.58,12.00,5.20
28-December-2016,462.00,474.70,462.00,469.35,470.401489841986455981,221500,2740,104193930.00,70707,31.92,12.70,7.35
27-December-2016,455.00,465.00,453.75,464.00,461.260623147125501366,34406,1254,15870133.00,14384,41.81,11.25,9.00
26-December-2016,458.05,460.80,452.80,456.05,455.805334978027908411,38913,1157,17736753.00,12367,31.78,8.00,-2.00
23-December-2016,460.15,463.00,455.85,458.95,459.366203484393915469,37998,1386,17454997.00,12860,33.84,7.15,-1.20
22-December-2016,462.25,466.00,459.50,461.35,463.319576377379845587,148434,1296,68772378.00,117573,79.21,6.50,-0.90
21-December-2016,466.15,470.00,461.00,462.55,465.934904577258843662,46163,1242,21508953.00,12433,26.93,9.00,-3.60
20-December-2016,463.20,468.00,461.75,466.80,465.212330718040342836,38619,1255,17966035.00,15918,41.22,6.25,3.60
19-December-2016,463.70,466.25,462.15,463.05,464.473739694553318015,36995,975,17183206.00,17067,46.13,4.10,-0.65
16-December-2016,466.60,471.00,460.45,463.70,465.223510029816806469,86193,2787,40099010.00,33602,38.98,10.55,-2.90
15-December-2016,467.90,472.00,463.15,466.60,467.646553373294222675,62728,2972,29334533.00,17027,27.14,8.85,-1.30
14-December-2016,464.00,469.90,463.45,465.05,466.441169203869471843,52617,1784,24542735.00,15203,28.89,6.45,1.05
13-December-2016,454.30,464.00,454.30,463.60,461.611017153901908673,57946,2327,26748512.00,17376,29.99,9.70,9.30
12-December-2016,457.95,457.95,452.00,454.20,453.704441839260127654,84447,2470,38313979.00,38541,45.64,5.95,-3.75
9-December-2016,458.00,460.95,457.00,458.70,459.291694119861770361,74369,2045,34157064.00,21782,29.29,3.95,0.70
8-December-2016,461.55,461.55,454.50,458.85,458.102388569569461012,73768,2657,33793297.00,35286,47.83,7.05,-2.70
7-December-2016,458.00,459.40,452.30,453.20,455.053674420584416966,46987,1570,21381607.00,20377,43.37,7.10,-4.80
6-December-2016,457.10,462.70,455.10,457.60,460.673096499699825115,38311,1316,17648847.00,11722,30.60,7.60,0.50
5-December-2016,462.00,462.00,453.00,456.45,456.221196161893081307,69305,1705,31618410.00,23679,34.17,9.00,-5.55
2-December-2016,475.00,475.00,458.80,460.10,464.605168189643755793,60408,1540,28065869.00,15018,24.86,16.20,-14.90
1-December-2016,468.00,469.55,465.00,467.65,467.269938650306748466,48900,1410,22849500.00,13081,26.75,4.55,-0.35
30-November-2016,466.00,470.35,462.55,465.10,466.965800829410446088,71376,1879,33330151.00,26719,37.43,7.80,-0.90
29-November-2016,461.45,466.40,461.00,464.25,464.422409724540421074,86873,2131,40345768.00,36332,41.82,5.40,2.80
28-November-2016,467.00,467.50,456.35,461.45,461.068684410248357802,76422,2455,35235791.00,20078,26.27,11.15,-5.55
25-November-2016,455.00,467.20,451.45,464.90,462.791475437112630163,144242,3141,66753968.00,62212,43.13,15.75,9.90
24-November-2016,449.95,455.00,446.50,450.95,451.112009218016406693,116294,3389,52461620.00,53887,46.34,8.50,1.00
23-November-2016,455.00,455.00,443.00,448.15,446.092184302594230642,60596,1985,27031402.00,9618,15.87,12.00,-6.85
22-November-2016,443.00,452.40,439.00,449.90,445.492887918314348108,67772,1897,30191944.00,18802,27.74,13.40,6.90
21-November-2016,438.00,443.70,437.95,441.65,441.770828973153979337,52559,1490,23219033.00,14323,27.25,5.75,3.65
18-November-2016,440.00,442.90,433.40,437.10,436.951957874581139301,52225,1611,22819816.00,14359,27.49,9.50,-2.90
17-November-2016,447.90,447.90,434.70,439.70,438.647048110061923842,71378,2326,31309749.00,17221,24.13,13.20,-8.20
16-November-2016,451.50,454.00,440.80,444.10,449.222441092133150479,80210,1693,36032132.00,20130,25.10,13.20,-7.40
15-November-2016,445.00,462.00,439.65,448.05,449.076844990166533310,534908,2008,240214797.00,472046,88.25,22.35,3.05
11-November-2016,442.00,444.50,434.40,441.40,439.780176632852820786,89904,2587,39537997.00,24692,27.46,10.10,-0.60
10-November-2016,450.00,453.55,443.75,444.70,445.829747535465256071,103975,2771,46355148.00,35050,33.71,9.80,-5.30
9-November-2016,437.00,450.00,410.00,447.20,438.003511320076665069,133568,3785,58503253.00,21666,16.22,40.00,10.20
8-November-2016,452.00,455.85,447.25,452.95,451.328538927969691489,105053,2252,47413417.00,48444,46.11,8.60,0.95
7-November-2016,455.00,456.00,448.55,450.95,451.041059008301548126,53484,1600,24123480.00,15059,28.16,7.45,-4.05
4-November-2016,447.95,454.50,444.25,452.45,450.224292691512298147,227270,3203,102322475.00,155516,68.43,10.25,4.50
3-November-2016,457.95,457.95,446.15,448.35,451.114008802322314823,85432,2920,38539572.00,43571,51.00,11.80,-9.60
2-November-2016,460.00,460.70,452.80,457.95,457.114374443750118351,52809,2342,24139753.00,16227,30.73,7.90,-2.05
1-November-2016,464.00,466.50,460.10,460.90,462.833413189302204024,45916,2464,21251459.00,23730,51.68,6.40,-3.10
30-October-2016,466.00,466.40,464.00,465.00,465.222023972916094793,21858,700,10168823.00,13210,60.44,2.40,-1.00
28-October-2016,463.40,466.00,454.10,461.70,459.171370457200271199,122419,4318,56211300.00,31224,25.51,11.90,-1.70
