"date","close","volume","open","high","low"

"2017/07/07","9.6600","12541.0000","9.6000","9.7450","9.5100"
"2017/07/06","9.6400","15269.0000","9.8700","9.9000","9.5100"
"2017/07/05","9.8500","35591.0000","9.9000","10.0800","9.5300"
"2017/07/03","9.7900","67918.0000","9.7600","10.1700","9.5100"
"2017/06/30","9.7400","10636.0000","9.7100","9.8500","9.4320"
"2017/06/29","9.6900","114123.0000","9.3100","9.7600","9.3100"
"2017/06/28","9.2400","94192.0000","9.0100","9.3200","9.0100"
"2017/06/27","9.0300","82757.0000","9.0600","9.1200","8.9715"
"2017/06/26","9.0400","25739.0000","9.1000","9.2600","8.9000"
"2017/06/23","9.0900","565694.0000","9.3700","9.8350","9.0200"
"2017/06/22","9.4000","69872.0000","9.5500","9.6000","9.3500"
"2017/06/21","9.5900","113363.0000","9.5300","9.7800","9.5200"
"2017/06/20","9.5300","242661.0000","9.7400","9.8300","9.3100"
"2017/06/19","9.7100","240356.0000","10.0800","10.0800","9.6650"
"2017/06/16","10.0800","165379.0000","9.6800","10.2197","9.5100"
"2017/06/15","9.6600","32910.0000","9.6100","9.7000","9.5500"
"2017/06/14","9.7000","100655.0000","9.7000","9.7482","9.5183"
"2017/06/13","9.7400","16031.0000","9.7000","9.7500","9.6500"
"2017/06/12","9.7000","24793.0000","9.7300","9.9050","9.6500"
"2017/06/09","9.6700","37364.0000","9.7000","9.8950","9.6100"
"2017/06/08","9.7200","23728.0000","9.7400","9.9500","9.7000"
"2017/06/07","9.7400","56478.0000","9.8200","9.9900","9.7100"
"2017/06/06","9.8200","43688.0000","9.8300","9.9800","9.7500"
"2017/06/05","9.8000","84155.0000","9.8600","10.1400","9.5800"
"2017/06/02","9.8300","545988.0000","10.2400","10.2400","9.6700"
"2017/06/01","10.2500","205439.0000","10.2500","10.2700","9.5700"
"2017/05/31","10.2400","118299.0000","10.2500","10.3000","9.7309"
"2017/05/30","10.2500","55791.0000","10.3000","10.4300","10.0250"
"2017/05/26","10.1800","240256.0000","9.7500","11.1083","9.7500"
"2017/05/25","9.5700","707765.0000","10.1000","10.1000","9.2610"
"2017/05/24","10.5100","164589.0000","11.0000","11.0250","10.4800"
"2017/05/23","11.0600","96797.0000","10.9900","11.2000","10.9700"
"2017/05/22","11.0300","169382.0000","11.0900","11.2000","10.9100"
"2017/05/19","11.1100","57892.0000","11.2500","11.2500","11.0600"
"2017/05/18","11.2200","163678.0000","11.2400","11.2400","10.9400"
"2017/05/17","11.2400","189250.0000","11.1000","11.2500","11.1000"
"2017/05/16","11.0700","164594.0000","11.0000","11.2000","10.9100"
"2017/05/15","11.1600","48001.0000","11.1800","11.2900","11.1000"
"2017/05/12","11.0800","74305.0000","10.9000","11.3200","10.8900"
"2017/05/11","10.8600","56212.0000","10.9000","10.9500","10.7200"
"2017/05/10","10.9500","50648.0000","10.8700","10.9900","10.3769"
"2017/05/09","10.7300","66949.0000","10.8200","11.0000","10.7300"
"2017/05/08","10.8400","29402.0000","10.9000","10.9000","10.6800"
"2017/05/05","10.9000","214846.0000","10.8400","11.0000","10.8000"
"2017/05/04","10.8400","49022.0000","10.6600","10.8500","10.5800"
"2017/05/03","10.6500","17009.0000","10.8300","10.8300","10.6000"
"2017/05/02","10.8100","174475.0000","10.8500","10.8600","10.7600"
"2017/05/01","10.8700","8244.0000","10.7400","10.8950","10.6100"
"2017/04/28","10.7200","60075.0000","10.7600","11.0000","10.7000"
"2017/04/27","10.7200","19744.0000","10.8800","10.8800","10.5500"
"2017/04/26","10.7700","22087.0000","10.7980","10.9000","10.6600"
"2017/04/25","10.9600","41290.0000","10.9000","10.9800","10.8900"
"2017/04/24","10.8900","243758.0000","11.0500","11.1000","10.6700"
"2017/04/21","11.0400","6668.0000","11.2000","11.2000","10.8400"
