Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,995.25,1012.00,993.00,1010.70,1004.059467753271989746,217681,7180,218564669.00,100226,46.04,19.00,15.45
29-December-2016,1000.00,1007.45,986.40,994.10,996.457062437577555158,165205,5688,164619689.00,97135,58.80,21.05,-5.90
28-December-2016,999.50,1009.75,995.20,999.15,1001.338573888288431657,452433,6060,453038615.00,372428,82.32,14.55,-0.35
27-December-2016,983.10,1002.90,982.25,999.25,995.612950693490695603,132518,3821,131936637.00,74938,56.55,20.65,16.15
26-December-2016,989.00,993.85,976.00,983.00,984.122832906411255893,107748,3810,106037267.00,49236,45.70,17.85,-6.00
23-December-2016,981.35,1006.60,975.00,989.30,990.270987011811558130,154679,7093,153174126.00,50491,32.64,31.60,7.95
22-December-2016,1002.90,1006.90,970.20,985.20,991.898830273452629948,348543,6883,345719394.00,242380,69.54,36.70,-17.70
21-December-2016,1015.00,1020.95,1001.05,1003.70,1013.748913588856100485,117589,6125,119205721.00,45394,38.60,19.90,-11.30
20-December-2016,998.00,1018.95,998.00,1010.40,1012.764754670180606154,129010,5290,130656781.00,59933,46.46,20.95,12.40
19-December-2016,1005.00,1006.05,994.20,1002.20,1000.688097350108069614,80041,2766,80096076.00,32867,41.06,11.85,-2.80
16-December-2016,999.20,1009.00,998.00,1004.20,1003.910771468868920369,112733,4206,113173873.00,30982,27.48,11.00,5.00
15-December-2016,997.90,1018.90,990.00,993.25,1007.512743830673947018,259145,9415,261091890.00,87531,33.78,28.90,-4.65
14-December-2016,991.55,1004.00,984.00,999.05,998.254186198231285942,331088,7385,330509982.00,178106,53.79,20.00,7.50
13-December-2016,977.00,991.85,973.50,990.05,983.727762597376147723,117842,3749,115924447.00,63391,53.79,18.35,13.05
12-December-2016,981.00,981.50,965.45,977.50,973.669577954076437629,183653,3508,178817339.00,101684,55.37,16.05,-3.50
9-December-2016,986.50,1007.05,983.00,987.35,994.906240154586125055,190444,6546,189473924.00,49971,26.24,24.05,0.85
8-December-2016,966.60,987.80,966.60,984.75,982.565691049332370144,85826,3872,84329683.00,34954,40.73,21.20,18.15
7-December-2016,967.20,972.60,960.90,966.60,966.915718058094657729,123075,4257,119003152.00,55746,45.29,11.70,-0.60
6-December-2016,966.50,978.70,962.70,966.95,971.948181599978664580,112489,2746,109333479.00,67242,59.78,16.00,0.45
5-December-2016,965.00,968.20,957.90,961.40,962.454412072940683294,85878,3095,82653660.00,22231,25.89,10.30,-3.60
2-December-2016,969.00,969.90,961.00,964.10,966.328783952823445318,89536,3004,86521214.00,20779,23.21,8.90,-4.90
1-December-2016,976.00,984.00,969.45,976.05,974.799283729422268591,99683,3299,97170917.00,44201,44.34,14.55,0.05
30-November-2016,970.00,977.50,962.00,975.45,970.672489144632329579,141635,3731,137481198.00,73028,51.56,15.50,5.45
29-November-2016,983.00,983.45,967.40,972.65,976.285491859999271588,109828,3997,107223483.00,31220,28.43,16.05,-10.35
28-November-2016,994.80,994.80,970.65,979.65,978.912122978328156895,375741,5017,367817420.00,251288,66.88,24.15,-15.15
25-November-2016,930.30,984.90,930.30,977.30,969.713416294383994030,396652,13551,384638766.00,109572,27.62,54.60,47.00
24-November-2016,923.30,940.00,922.90,932.70,935.085864707543214700,350633,6231,327871962.00,243593,69.47,17.10,9.40
23-November-2016,924.00,924.00,913.20,920.50,918.827557008963765365,171245,4296,157344625.00,103186,60.26,10.80,-3.50
22-November-2016,921.75,928.00,912.00,913.95,919.270754388678369808,103448,5352,95096721.00,43403,41.96,16.00,-7.80
21-November-2016,930.90,930.90,906.75,911.15,918.967883288884187940,132361,4760,121635508.00,54822,41.42,24.15,-19.75
18-November-2016,929.80,932.90,918.00,919.80,925.875005991353278947,104317,4647,96584503.00,44330,42.50,14.90,-10.00
17-November-2016,934.80,949.00,926.25,929.55,936.929977715836465128,135971,5445,127395306.00,50258,36.96,22.75,-5.25
16-November-2016,926.10,956.70,926.10,940.10,944.929125053443985222,182434,7726,172387200.00,70673,38.74,30.60,14.00
15-November-2016,922.00,938.00,909.55,924.75,925.444917731221257026,244625,10252,226386963.00,113620,46.45,28.45,2.75
