Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-July-2017,33.50,33.50,30.40,30.40,31.919372358308289881,3503910,5758,111842608.00,1476547,42.14,3.10,-3.10
13-July-2017,31.95,31.95,31.95,31.95,31.949975637485788533,18471,73,590148.00,18471,100.00,0.00,0.00
12-July-2017,30.45,30.45,28.60,30.45,30.146275580004697773,1115422,1090,33625819.00,509936,45.72,1.85,0.00
11-July-2017,29.00,29.00,29.00,29.00,29.000000000000000000,32811,56,951519.00,32811,100.00,0.00,0.00
10-July-2017,27.65,27.65,27.65,27.65,27.649991221738875992,102526,181,2834843.00,98524,96.10,0.00,0.00
7-July-2017,26.35,26.35,26.35,26.35,26.349980692495816707,15538,63,409426.00,15538,100.00,0.00,0.00
6-July-2017,25.00,25.10,24.10,25.10,25.030405607838607905,1151531,1062,28823288.00,727932,63.21,1.00,0.10
5-July-2017,23.95,23.95,23.95,23.95,23.949954226426609703,3277,38,78484.00,3277,100.00,0.00,0.00
4-July-2017,22.85,22.85,22.85,22.85,22.849921662406201039,12127,48,277101.00,12127,100.00,0.00,0.00
3-July-2017,21.80,21.80,21.70,21.80,21.799584530121566186,266686,208,5813644.00,231374,86.76,0.10,0.00
30-June-2017,20.40,20.80,19.85,20.80,20.602855981783270831,2308208,2006,47555677.00,921097,39.91,0.95,0.40
29-June-2017,19.85,19.85,18.50,19.85,19.568486401455147951,2542147,1907,49745969.00,1602936,63.05,1.35,0.00
28-June-2017,18.95,18.95,18.95,18.95,18.949986768986504366,3779,33,71612.00,3779,100.00,0.00,0.00
27-June-2017,16.35,18.05,16.35,18.05,16.760789864014930874,6123687,426,102637831.00,4494640,73.40,1.70,1.70
23-June-2017,17.20,17.20,17.20,17.20,17.199999662131343061,591946,817,10181471.00,591944,100.00,0.00,0.00
22-June-2017,18.10,18.10,18.10,18.10,18.099996129752801782,180867,509,3273692.00,180866,100.00,0.00,0.00
21-June-2017,19.05,19.05,19.05,19.05,19.049999674862304185,153781,390,2929528.00,153781,100.00,0.00,0.00
20-June-2017,20.05,20.05,20.05,20.05,20.049991762616925076,109258,327,2190622.00,109257,100.00,0.00,0.00
19-June-2017,21.10,21.10,21.10,21.10,21.099998566534310001,69761,258,1471957.00,69761,100.00,0.00,0.00
16-June-2017,22.20,22.20,22.20,22.20,22.199999136352644488,231576,487,5140987.00,231576,100.00,0.00,0.00
15-June-2017,23.35,23.35,23.35,23.35,23.349997547777468979,61169,272,1428296.00,61169,100.00,0.00,0.00
14-June-2017,24.55,24.55,24.55,24.55,24.549980375550001032,48409,206,1188440.00,48409,100.00,0.00,0.00
13-June-2017,25.80,25.80,25.80,25.80,25.800000000000000000,85985,254,2218413.00,85894,99.89,0.00,0.00
12-June-2017,27.15,27.15,27.15,27.15,27.149995080368882885,111797,269,3035288.00,111797,100.00,0.00,0.00
9-June-2017,28.55,28.55,28.55,28.55,28.549999059283926925,53151,254,1517461.00,53151,100.00,0.00,0.00
8-June-2017,30.05,30.05,30.05,30.05,30.049981188319393395,34553,189,1038317.00,34553,100.00,0.00,0.00
7-June-2017,31.60,31.60,31.60,31.60,31.599982731825246071,23164,179,731982.00,23164,100.00,0.00,0.00
6-June-2017,33.25,33.25,33.25,33.25,33.250000000000000000,35496,167,1180242.00,35496,100.00,0.00,0.00
5-June-2017,34.95,34.95,34.95,34.95,34.949978002639683238,22730,193,794413.00,22730,100.00,0.00,0.00
2-June-2017,36.75,36.75,36.75,36.75,36.749977687204355457,33613,217,1235277.00,33613,100.00,0.00,0.00
1-June-2017,38.65,38.65,38.65,38.65,38.649972498045913788,34543,215,1335086.00,34543,100.00,0.00,0.00
31-May-2017,40.65,40.65,40.65,40.65,40.649980445834962847,28127,188,1143362.00,28127,100.00,0.00,0.00
30-May-2017,42.75,42.75,42.75,42.75,42.749985538265748828,34574,142,1478038.00,19153,55.40,0.00,0.00
29-May-2017,44.95,44.95,44.95,44.95,44.949990611504037053,31954,206,1436332.00,31954,100.00,0.00,0.00
26-May-2017,47.30,47.30,47.30,47.30,47.300000000000000000,87890,427,4157197.00,87890,100.00,0.00,0.00
25-May-2017,52.55,52.55,52.55,52.55,52.549982426034279570,48367,298,2541685.00,48367,100.00,0.00,0.00
24-May-2017,58.35,58.35,58.35,58.35,58.349987984620314001,49936,389,2913765.00,49795,99.72,0.00,0.00
23-May-2017,64.80,64.80,64.80,64.80,64.799994326281373890,141001,656,9136864.00,137001,97.16,0.00,0.00
22-May-2017,100.00,100.60,80.40,81.00,81.958805211878805434,179513,995,14712671.00,107983,60.15,20.20,-19.00
19-May-2017,100.10,100.60,99.95,100.45,100.379102073686329776,19868,94,1994332.00,18893,95.09,0.65,0.35
18-May-2017,100.20,100.80,99.35,100.05,100.065307849636786797,14179,131,1418826.00,12149,85.68,1.45,-0.15
17-May-2017,100.40,100.60,99.30,99.75,100.005398110661268556,5187,98,518728.00,2142,41.30,1.30,-0.65
