Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-July-2017,264.50,265.00,258.90,259.50,261.195620656901464780,80012,1193,20898784.00,27228,34.03,6.10,-5.00
13-July-2017,260.10,265.75,260.10,264.20,263.627821302970159128,143595,1751,37855637.00,30679,21.36,5.65,4.10
12-July-2017,263.05,266.50,261.55,263.95,263.351780838495458086,132213,1586,34818529.00,31830,24.07,4.95,0.90
11-July-2017,268.00,273.20,262.50,263.35,266.201423157519283071,560725,2261,149265793.00,414920,74.00,10.70,-4.65
10-July-2017,256.40,269.85,256.40,268.50,265.047101809314875824,784938,11337,208045542.00,423351,53.93,13.45,12.10
7-July-2017,255.00,258.40,255.00,256.60,256.933815895720382973,69352,1077,17818874.00,23767,34.27,3.40,1.60
6-July-2017,257.00,260.05,256.00,257.10,257.892773470365144905,77257,1034,19924022.00,22420,29.02,4.05,0.10
5-July-2017,260.80,260.80,256.30,257.55,257.944543137406348961,129470,1143,33396080.00,75288,58.15,4.50,-3.25
4-July-2017,258.05,260.90,255.15,259.90,258.652145319617317623,144454,1363,37363337.00,46680,32.31,5.75,1.85
3-July-2017,259.00,260.35,252.30,259.35,256.818820437024471354,238156,1986,61162943.00,52392,22.00,8.05,0.35
30-June-2017,260.00,260.75,256.50,258.75,258.186631340089218947,155124,1423,40050943.00,66374,42.79,4.25,-1.25
29-June-2017,259.00,260.80,256.05,259.25,258.710930161840727100,147985,1868,38285337.00,46639,31.52,4.75,0.25
28-June-2017,257.00,259.90,254.20,258.40,257.262375041932237504,149050,1361,38344957.00,58483,39.24,5.70,1.40
27-June-2017,256.85,257.70,253.40,256.00,255.467269595176571920,150930,1362,38557675.00,42961,28.46,4.30,-0.85
23-June-2017,255.00,259.90,253.15,256.85,257.025200852598786686,243960,3158,62703868.00,98400,40.33,6.75,1.85
22-June-2017,256.00,258.80,253.35,254.65,255.654526795716445621,127651,1370,32634556.00,34907,27.35,5.45,-1.35
21-June-2017,254.10,257.00,252.10,255.90,254.147622531089978054,266565,2031,67746861.00,119466,44.82,4.90,1.80
20-June-2017,256.00,257.25,253.15,254.05,254.440855714188745842,176788,1657,44982090.00,31078,17.58,4.10,-1.95
19-June-2017,256.90,257.50,253.55,254.35,254.871606684941197276,158326,1592,40352802.00,63746,40.26,3.95,-2.55
16-June-2017,261.00,263.00,253.10,254.95,255.689544267509670325,254645,3232,65110064.00,57036,22.40,9.90,-6.05
15-June-2017,260.05,262.00,255.20,260.80,258.816613201127636823,329184,4432,85198288.00,67326,20.45,6.80,0.75
14-June-2017,261.00,261.30,252.45,256.05,255.301608205307379871,297661,2686,75993332.00,57013,19.15,8.85,-4.95
13-June-2017,261.80,266.70,257.00,259.35,261.538250109840705432,293607,4169,76789461.00,79566,27.10,9.70,-2.45
12-June-2017,540.00,540.00,520.25,526.30,526.036545845701369788,183605,3168,96582940.00,52720,28.71,19.75,-13.70
9-June-2017,541.00,543.50,531.30,536.75,537.331626916412026932,226791,3275,121861977.00,96481,42.54,12.20,-4.25
8-June-2017,550.90,552.75,542.30,545.55,545.818796127671810600,104330,1697,56945275.00,37155,35.61,10.45,-5.35
7-June-2017,560.00,562.00,536.00,548.85,551.782435512336516322,427795,4004,236049767.00,267636,62.56,26.00,-11.15
6-June-2017,555.00,567.85,552.30,560.65,562.464446595658837518,750997,4421,422409112.00,585124,77.91,15.55,5.65
5-June-2017,551.90,558.00,546.70,555.60,551.542367703976257007,576170,2489,317782166.00,466800,81.02,11.30,3.70
2-June-2017,544.40,554.00,540.65,551.95,547.306837346575470814,85384,1712,46731247.00,35273,41.31,13.35,7.55
1-June-2017,537.90,544.90,534.75,541.75,540.882570422535211267,62480,1404,33794343.00,24127,38.62,10.15,3.85
31-May-2017,534.00,540.00,533.15,537.15,535.844120566264430862,57429,1206,30772992.00,22879,39.84,6.85,3.15
30-May-2017,533.65,539.80,529.10,535.45,535.471870589512539355,46055,929,24661157.00,10493,22.78,10.70,1.80
29-May-2017,540.00,540.00,530.20,534.40,534.018443271125818146,41099,829,21947624.00,9927,24.15,9.80,-5.60
26-May-2017,535.00,544.90,531.60,538.90,539.731407973689655547,91827,3642,49561916.00,38604,42.04,13.30,3.90
25-May-2017,524.95,537.00,524.95,534.95,531.260033089796336695,68299,3667,36284529.00,29029,42.50,12.05,10.00
24-May-2017,527.00,532.20,520.35,524.95,527.006159336863918950,642764,2834,338740587.00,567761,88.33,11.85,-2.05
23-May-2017,522.35,528.75,520.20,525.40,525.548474396391615813,113070,2359,59423766.00,29098,25.73,8.55,3.05
22-May-2017,521.70,523.15,508.00,520.70,518.009452278765583486,371868,1736,192631139.00,284205,76.43,15.15,-1.00
19-May-2017,518.00,527.10,517.90,519.30,520.411347621843805049,68120,1513,35450421.00,16230,23.83,9.20,1.30
18-May-2017,507.00,527.00,507.00,523.60,518.236912876532341363,1284717,5936,665787772.00,1043906,81.26,20.00,16.60
17-May-2017,515.00,517.00,505.60,506.05,506.578046556208502579,859692,2367,435501094.00,657930,76.53,11.40,-8.95
16-May-2017,506.25,516.30,505.80,514.80,512.663033116727185405,137423,2469,70451692.00,36256,26.38,10.50,8.55
15-May-2017,507.00,508.15,502.10,506.25,505.099059604242955627,58167,2044,29380097.00,21227,36.49,6.05,-0.75
12-May-2017,504.80,507.45,503.75,506.80,506.029570784455331524,51233,989,25925413.00,20081,39.20,3.70,2.00
11-May-2017,501.55,509.00,500.55,504.80,503.183474937620416285,94983,1282,47793876.00,23114,24.33,8.45,3.25
10-May-2017,508.50,510.55,499.25,500.35,502.527880292558545259,104321,3016,52424211.00,42082,40.34,11.30,-8.15
9-May-2017,503.35,509.40,500.40,508.70,505.775633409896947135,113631,2418,57471791.00,45211,39.79,9.00,5.35
8-May-2017,500.00,504.90,496.80,502.60,502.622580759715432237,84479,2025,42461053.00,26702,31.61,8.10,2.60
5-May-2017,499.90,499.90,496.10,498.45,498.026182598587141196,55915,1278,27847134.00,19173,34.29,3.80,-1.45
4-May-2017,497.00,499.95,495.05,498.80,497.474490552805836895,74149,2087,36887236.00,26907,36.29,4.90,1.80
3-May-2017,497.00,499.20,494.40,496.15,496.235451872832334427,325523,1931,161536053.00,26667,8.19,4.80,-0.85
2-May-2017,495.00,497.85,493.00,495.00,495.818090229158840203,58562,1474,29036099.00,22834,38.99,4.85,0.00
28-April-2017,495.75,497.60,490.15,494.10,492.857185270010921313,94311,2859,46481854.00,35299,37.43,7.45,-1.65
27-April-2017,492.50,498.00,488.65,495.70,493.235261149534939184,167720,3131,82725418.00,74880,44.65,9.35,3.20
26-April-2017,504.00,513.00,489.00,490.60,498.492328347076617080,1206650,20186,601505768.00,394558,32.70,24.00,-13.40
25-April-2017,499.00,499.90,489.30,494.55,494.233432469364043580,136849,2306,67635351.00,16647,12.16,10.60,-4.45
24-April-2017,490.00,494.00,484.75,491.80,488.969966728610057084,89867,992,43942264.00,49325,54.89,9.25,1.80
21-April-2017,500.00,503.15,486.80,493.20,497.575820348854663904,33309,764,16573753.00,8410,25.25,16.35,-6.80
20-April-2017,498.20,505.00,496.00,500.00,500.106753479077188373,372297,1050,186188244.00,333530,89.59,9.00,1.80
19-April-2017,494.00,499.35,490.50,498.20,495.029981561999756977,189283,1098,93700760.00,151378,79.97,8.85,4.20
18-April-2017,491.80,497.45,491.30,493.95,494.153967035778240689,27363,622,13521535.00,5560,20.32,6.15,2.15
17-April-2017,494.80,495.75,490.05,491.80,492.478918208282467837,31947,740,15733224.00,6259,19.59,5.70,-3.00
13-April-2017,501.10,504.00,492.30,494.80,494.902389797691618261,146163,1158,72336418.00,104575,71.55,11.70,-6.30
12-April-2017,510.00,510.00,499.00,501.00,505.056297421509893124,258058,1648,130333818.00,185702,71.96,11.00,-9.00
11-April-2017,506.00,511.45,500.75,509.95,508.207075440852714868,45877,1476,23315016.00,17547,38.25,10.70,3.95
10-April-2017,510.00,517.20,501.00,503.35,507.991431670281995661,92200,1830,46836810.00,14268,15.48,16.20,-6.65
7-April-2017,512.45,513.65,509.05,511.75,510.315131202485081337,85631,789,43698795.00,60503,70.66,4.60,-0.70
6-April-2017,510.00,515.00,506.45,513.40,511.005193167026744139,74521,1432,38080618.00,22934,30.78,8.55,3.40
5-April-2017,507.10,511.45,503.05,510.55,508.581985771894803124,74641,1357,37961068.00,22431,30.05,8.40,3.45
3-April-2017,515.70,515.70,505.50,507.10,508.710397149132637052,89236,1739,45395281.00,30231,33.88,10.20,-8.60
31-March-2017,512.00,517.50,510.20,515.35,512.954826527523530853,69377,1266,35587267.00,13874,20.00,7.30,3.35
30-March-2017,510.00,517.80,508.50,515.75,512.984113193496338587,56399,1540,28931791.00,17986,31.89,9.30,5.75
29-March-2017,508.00,512.30,502.00,510.00,506.350115621017685302,816893,2208,413633865.00,750270,91.84,10.30,2.00
28-March-2017,509.00,510.70,503.25,507.55,508.435520465108384260,1590683,2565,808759739.00,1535336,96.52,7.45,-1.45
27-March-2017,512.00,512.20,502.60,503.45,504.894599905868972131,3488754,2357,1761453055.00,3435644,98.48,9.60,-8.55
24-March-2017,510.00,514.00,510.00,512.50,511.417583477268701632,4448756,2072,2275172043.00,4375875,98.36,4.00,2.50
23-March-2017,501.55,511.00,501.00,509.55,504.611801102519555942,3712043,3583,1873140704.00,3627402,97.72,10.00,8.00
22-March-2017,495.00,502.85,492.15,501.55,500.665201410559239952,2064713,1297,1033729950.00,2033671,98.50,10.70,6.55
21-March-2017,497.00,501.60,493.90,497.60,499.150963390357492427,1359833,1406,678761952.00,1331534,97.92,7.70,0.60
20-March-2017,503.75,503.75,494.90,496.85,499.840893841911764705,1305600,1612,652592271.00,1284568,98.39,8.85,-6.90
17-March-2017,504.00,506.05,499.10,503.75,500.383674059588649649,726145,2141,363351103.00,673668,92.77,6.95,-0.25
16-March-2017,500.00,501.10,494.00,499.55,494.333691877913466878,713068,1639,352493537.00,681259,95.54,7.10,-0.45
15-March-2017,505.00,505.00,491.50,493.50,496.737382996578658575,77455,2383,38474794.00,29617,38.24,13.50,-11.50
14-March-2017,490.00,503.00,489.45,500.45,495.756308395509847415,74385,1924,36876833.00,44391,59.68,13.55,10.45
10-March-2017,489.00,489.00,484.10,486.95,486.463127395083652677,21398,575,10409338.00,10166,47.51,4.90,-2.05
9-March-2017,492.00,492.10,483.20,484.20,486.164051817707672572,70941,2286,34488964.00,18107,25.52,8.90,-7.80
8-March-2017,494.00,494.75,489.50,493.90,492.278726287262872628,36900,1269,18165085.00,14498,39.29,5.25,-0.10
7-March-2017,492.00,499.20,491.35,493.80,495.699853326814525090,89996,2224,44611004.00,39368,43.74,7.85,1.80
6-March-2017,494.00,494.00,488.70,491.85,490.515031142748188636,62936,1644,30871054.00,15862,25.20,5.30,-2.15
3-March-2017,490.00,494.45,487.00,492.40,491.626194259301293823,48461,1561,23824697.00,17678,36.48,7.45,2.40
2-March-2017,493.00,495.00,487.15,489.25,491.476719953236587287,78694,2202,38676269.00,29380,37.33,7.85,-3.75
