"date","close","volume","open","high","low"
"2017/07/13","15.5600","10161790.0000","15.5500","15.6500","15.4700"
"2017/07/12","15.6400","10637400.0000","15.5000","15.6600","15.4200"
"2017/07/11","15.4700","5372611.0000","15.4200","15.4750","15.2700"
"2017/07/10","15.3200","7111910.0000","15.4700","15.5500","15.2600"
"2017/07/07","15.0400","4134490.0000","14.9500","15.0800","14.8350"
"2017/07/06","14.9400","5393070.0000","14.9300","15.1100","14.9000"
"2017/07/05","14.9400","5288868.0000","15.0900","15.0900","14.9400"
"2017/07/03","15.1400","3542074.0000","15.1900","15.2300","15.1200"
"2017/06/30","15.0200","9103032.0000","14.9200","15.1950","14.8300"
"2017/06/29","14.8900","4802527.0000","14.8200","14.9000","14.6900"
"2017/06/28","14.9200","7064148.0000","14.7300","15.0000","14.6700"
"2017/06/27","14.7100","7425400.0000","14.7200","14.7900","14.5300"
"2017/06/26","14.9400","3039215.0000","14.9100","15.0200","14.8600"
"2017/06/23","14.8500","4169750.0000","14.7700","14.9500","14.6900"
"2017/06/22","14.7700","6902624.0000","14.9500","14.9600","14.6400"
"2017/06/21","14.9800","3011266.0000","14.9600","15.0000","14.8800"
"2017/06/20","14.9000","4513472.0000","14.9000","15.0100","14.8500"
"2017/06/19","14.8200","5319304.0000","14.6900","14.8450","14.6150"
"2017/06/16","14.6700","8744308.0000","14.9100","14.9200","14.5700"
"2017/06/15","15.0700","3271708.0000","15.1000","15.1500","14.9400"
"2017/06/14","15.1700","3321949.0000","15.2100","15.2900","15.0700"
"2017/06/13","15.1400","4843968.0000","15.1300","15.2600","15.1200"
"2017/06/12","15.0600","4778157.0000","15.1800","15.2400","14.9900"
"2017/06/09","14.9500","12654890.0000","15.1000","15.1200","14.6300"
"2017/06/08","15.2700","5769509.0000","15.3400","15.3500","15.1350"
"2017/06/07","15.3300","7042950.0000","15.3400","15.4400","15.2750"
"2017/06/06","15.5900","8036630.0000","15.3300","15.6200","15.3000"
"2017/06/05","15.2300","4055039.0000","15.1400","15.2900","15.1200"
"2017/06/02","15.1800","4859019.0000","15.2000","15.2600","15.0800"
"2017/06/01","15.3000","5670982.0000","15.0900","15.3100","15.0700"
"2017/05/31","15.1000","4519208.0000","15.1900","15.2300","15.0100"
"2017/05/30","15.4000","6451533.0000","15.5300","15.5900","15.3300"
"2017/05/26","15.5300","5697757.0000","15.5100","15.5900","15.3700"
"2017/05/25","15.5100","7910819.0000","15.4300","15.6900","15.4100"
"2017/05/24","15.2000","6402851.0000","15.0700","15.2200","15.0300"
"2017/05/23","15.0600","3267623.0000","15.0500","15.1750","15.0100"
"2017/05/22","15.0500","3118846.0000","15.1600","15.1700","15.0100"
"2017/05/19","15.1600","3107671.0000","15.0500","15.1800","14.9900"
"2017/05/18","14.9800","4079358.0000","15.0200","15.0900","14.8800"
"2017/05/17","14.8900","8437869.0000","15.1500","15.2100","14.8200"
"2017/05/16","15.2600","5020409.0000","15.1700","15.3100","15.1700"
"2017/05/15","15.1200","4034545.0000","15.1800","15.2300","15.0850"
"2017/05/12","15.2800","5419350.0000","15.3500","15.5100","15.2500"
"2017/05/11","15.2700","15322820.0000","14.8900","15.3000","14.8700"
"2017/05/10","14.9100","4461229.0000","14.8900","14.9600","14.7700"
"2017/05/09","14.9400","10778630.0000","15.0600","15.1500","14.8650"
"2017/05/08","15.1000","9553845.0000","14.8500","15.1500","14.8500"
"2017/05/05","14.8000","5977962.0000","14.7000","14.8300","14.7000"
"2017/05/04","14.7200","5118950.0000","14.7200","14.7800","14.6800"
"2017/05/03","14.6800","3789919.0000","14.6700","14.7300","14.6000"
