,adbl.rating.overall.count,adbl.rating.overall.value,adbl.rating.performance.count,adbl.rating.performance.value,adbl.rating.story.count,adbl.rating.story.value,amazon.rating.overall.count,amazon.rating.overall.value,authors,category,length,narrated_by,price,program_format,publisher,release_date,series,subcategory,title
0,494.0,4.4,494.0,4.4,494.0,4.4,2.0,5.0,Jon Ronson,Radio & TV,207.0,Jon Ronson,0.0,,Audible Originals,2017-07-27,,Documentaries,The Butterfly Effect with Jon Ronson
1,470.0,4.6,470.0,4.6,470.0,4.6,41.0,4.6,Michael D. Blutrich,Bios & Memoirs,652.0,Michael D. Blutrich,24.47,Unabridged,"Blackstone Audio, Inc.",2017-01-31,,Criminals,"Scores: How I Opened the Hottest Strip Club in New York City, Was Extorted out of Millions by the Gambino Family, and Became One of the Most Successful Mafia Informants in FBI History"
2,37650.0,4.5,37650.0,4.5,37650.0,4.5,1677.0,4.6,Mark Manson,Self Development,330.0,Roger Wayne,23.95,Unabridged,HarperAudio,2016-09-13,,Motivation & Inspiration,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life
3,2049.0,4.3,2049.0,4.3,2049.0,4.3,635.0,4.6,Benjamin Hoff,Nonfiction,166.0,Simon Vance,13.99,Unabridged,Tantor Audio,2012-01-23,,Philosophy,The Tao of Pooh
4,3797.0,4.2,3797.0,4.2,3797.0,4.2,1520.0,4.2,Craig A. Falconer,Sci-Fi & Fantasy,1379.0,James Patrick Cronin,5.95,Unabridged,Audible Studios,2016-08-09,,Sci-Fi: Contemporary,Not Alone
5,12506.0,4.3,12506.0,4.3,12506.0,4.3,3089.0,4.3,Stephen King,Fiction,440.0,George Guidall,18.89,Unabridged,Simon & Schuster Audio,2016-01-01,"Series: The Dark Tower, Book 1",Horror,The Dark Tower I: The Gunslinger
6,89603.0,4.7,89603.0,4.7,89603.0,4.7,12681.0,4.6,Ernest Cline,Sci-Fi & Fantasy,946.0,Wil Wheaton,31.5,Unabridged,Random House Audio,2011-08-16,,Sci-Fi: Contemporary,Ready Player One
7,68800.0,4.7,68800.0,4.7,68800.0,4.7,9538.0,4.6,George R. R. Martin,Sci-Fi & Fantasy,2030.0,Roy Dotrice,31.5,Unabridged,Random House Audio,2003-12-09,"Series: Song of Ice and Fire, Book 1",Fantasy: Epic,"A Game of Thrones: A Song of Ice and Fire, Book 1"
8,9962.0,4.8,9962.0,4.8,9962.0,4.8,336.0,4.8,"Kevin Hart , Neil Strauss - contributor",Comedy,674.0,Kevin Hart,29.95,Unabridged,Audible Studios,2017-06-06,,Memoirs,I Can't Make This Up: Life Lessons
9,7850.0,4.6,7850.0,4.6,7850.0,4.6,307.0,4.6,Mel Robbins,Self Development,457.0,Mel Robbins,19.95,Unabridged,Mel Robbins Productions Inc.,2017-02-22,,Motivation & Inspiration,"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage"
10,39682.0,4.9,39682.0,4.9,39682.0,4.9,14871.0,4.7,J.K. Rowling,Kids,514.0,Jim Dale,29.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,"Series: Harry Potter, Book 1",Ages 8-10,"Harry Potter and the Sorcerer's Stone, Book 1"
11,,,,,,,,,Dennis E. Taylor,Sci-Fi & Fantasy,,Ray Porter,19.95,Unabridged,Audible Studios,2017-08-08,"Series: Bobiverse, Book 3",Sci-Fi: Contemporary,"All These Worlds: Bobiverse, Book 3"
12,1119.0,4.4,1119.0,4.4,1119.0,4.4,555.0,4.2,Michael Connelly,Mysteries & Thrillers,562.0,Katherine Moennig,30.79,Unabridged,Hachette Audio,2017-07-18,,Police Procedurals,The Late Show
13,4626.0,4.7,4626.0,4.7,4626.0,4.7,944.0,4.6,Neil deGrasse Tyson,Science & Technology,221.0,Neil deGrasse Tyson,17.47,Unabridged,"Blackstone Audio, Inc.",2017-05-02,,Astronomy,Astrophysics for People in a Hurry
14,8493.0,4.5,8493.0,4.5,8493.0,4.5,7157.0,4.1,"Margaret Atwood , Valerie Martin - essay",Fiction,732.0,"Claire Danes , Margaret Atwood , full cast",29.95,Unabridged,Audible Studios,2017-04-04,,Literary,The Handmaid's Tale: Special Edition
15,2204.0,4.7,2204.0,4.7,2204.0,4.7,6321.0,4.8,Mark Sullivan,Fiction,1063.0,Will Damron,23.99,Unabridged,Brilliance Audio,2017-05-01,,Historical,Beneath a Scarlet Sky: A Novel
16,9583.0,4.7,9583.0,4.7,9583.0,4.7,2646.0,4.6,Stephen King,Fiction,2697.0,Steven Weber,37.79,Unabridged,Simon & Schuster Audio,2016-01-01,,Horror,It
17,5254.0,4.0,5254.0,4.0,5254.0,4.0,2369.0,3.9,John Grisham,Mysteries & Thrillers,525.0,January LaVoy,31.5,Unabridged,Random House Audio,2017-06-06,,Suspense,Camino Island: A Novel
18,5798.0,4.9,5798.0,4.9,5798.0,4.9,1006.0,4.8,Al Franken,Bios & Memoirs,725.0,Al Franken,29.65,Unabridged,Hachette Audio,2017-05-30,,Political Figures,"Al Franken, Giant of the Senate"
19,21531.0,4.5,21531.0,4.5,21531.0,4.5,7816.0,4.4,J. D. Vance,Nonfiction,409.0,J. D. Vance,25.09,Unabridged,HarperAudio,2016-06-28,,Social Sciences,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis
20,1202.0,4.4,1202.0,4.4,1202.0,4.4,22.0,3.8,"Joe Harris , Chris Carter , Dirk Maggs - adaptation",Sci-Fi & Fantasy,245.0,"David Duchovny , Gillian Anderson , Mitch Pileggi , Willliam B. Davis , Tom Braidwood , Dean Haglund , Bruce Harwood",24.95,,Audible Studios,2017-07-18,"Series: The X-Files (Audible Original), Book 1",Fantasy: Paranormal,The X-Files: Cold Cases
21,,,,,,,3.0,5.0,Larry Correia,Sci-Fi & Fantasy,932.0,Oliver Wyman,29.95,Unabridged,Audible Studios,2017-08-01,"Series: Monster Hunter, Book 6",Fantasy: Paranormal,"Monster Hunter Siege: Monster Hunter, Book 6"
22,34146.0,4.6,34146.0,4.6,34146.0,4.6,6046.0,4.7,Dale Carnegie,Business,439.0,Andrew MacMillan,31.93,Unabridged,Simon & Schuster Audio,2004-09-17,,Career Skills,How to Win Friends & Influence People
