,adbl.rating.overall.count,adbl.rating.overall.value,adbl.rating.performance.count,adbl.rating.performance.value,adbl.rating.story.count,adbl.rating.story.value,amazon.rating.overall.count,amazon.rating.overall.value,authors,category,length,narrated_by,price,program_format,publisher,release_date,series,subcategory,title,url
0,236.0,4.3,236.0,4.3,236.0,4.3,7.0,3.9,Lucy Dawson,Mysteries & Thrillers,590,Jessica Ball,3.95,Unabridged,Bolinda Publishing Pty Ltd,2017-01-05,,Suspense,Everything You Told Me,http://www.audible.com/pd/Mysteries-Thrillers/Everything-You-Told-Me-Audiobook/B01N2REBR5/ref=a_adblbests_c2_1_t/147-7907289-7449118?ie=UTF8&pf_rd_r=00A6ZDXSH80SS75993GB&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
1,776.0,4.4,776.0,4.4,776.0,4.4,3.0,5.0,Jon Ronson,Radio & TV,207,Jon Ronson,0.0,,Audible Originals,2017-07-27,,Documentaries,The Butterfly Effect with Jon Ronson,http://www.audible.com/pd/Radio-TV/The-Butterfly-Effect-with-Jon-Ronson-Audiobook/B073JS84YF/ref=a_adblbests_c2_2_t/147-7907289-7449118?ie=UTF8&pf_rd_r=00A6ZDXSH80SS75993GB&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
2,3809.0,4.2,3809.0,4.2,3809.0,4.2,1525.0,4.2,Craig A. Falconer,Sci-Fi & Fantasy,1379,James Patrick Cronin,34.95,Unabridged,Audible Studios,2016-08-09,,Sci-Fi: Contemporary,Not Alone,http://www.audible.com/pd/Sci-Fi-Fantasy/Not-Alone-Audiobook/B01JQGTYKA/ref=a_adblbests_c2_3_t/147-7907289-7449118?ie=UTF8&pf_rd_r=00A6ZDXSH80SS75993GB&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
3,37872.0,4.5,37872.0,4.5,37872.0,4.5,1693.0,4.6,Mark Manson,Self Development,330,Roger Wayne,23.95,Unabridged,HarperAudio,2016-09-13,,Motivation & Inspiration,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,http://www.audible.com/pd/Self-Development/The-Subtle-Art-of-Not-Giving-a-F-ck-Audiobook/B01I28NFEE/ref=a_adblbests_c2_4_t/147-7907289-7449118?ie=UTF8&pf_rd_r=00A6ZDXSH80SS75993GB&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
4,12637.0,4.3,12637.0,4.3,12637.0,4.3,3095.0,4.3,Stephen King,Fiction,440,George Guidall,18.89,Unabridged,Simon & Schuster Audio,2016-01-01,"Series: The Dark Tower, Book 1",Horror,The Dark Tower I: The Gunslinger,http://www.audible.com/pd/Fiction/The-Dark-Tower-I-Audiobook/B019NNU7XE/ref=a_adblbests_c2_5_t/147-7907289-7449118?ie=UTF8&pf_rd_r=00A6ZDXSH80SS75993GB&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
5,90028.0,4.7,90028.0,4.7,90028.0,4.7,12706.0,4.6,Ernest Cline,Sci-Fi & Fantasy,946,Wil Wheaton,31.5,Unabridged,Random House Audio,2011-08-16,,Sci-Fi: Contemporary,Ready Player One,http://www.audible.com/pd/Sci-Fi-Fantasy/Ready-Player-One-Audiobook/B005FRGT44/ref=a_adblbests_c2_6_t/147-7907289-7449118?ie=UTF8&pf_rd_r=00A6ZDXSH80SS75993GB&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
6,68903.0,4.7,68903.0,4.7,68903.0,4.7,9542.0,4.6,George R. R. Martin,Sci-Fi & Fantasy,2030,Roy Dotrice,31.5,Unabridged,Random House Audio,2003-12-09,"Series: Song of Ice and Fire, Book 1",Fantasy: Epic,"A Game of Thrones: A Song of Ice and Fire, Book 1",http://www.audible.com/pd/Sci-Fi-Fantasy/A-Game-of-Thrones-Audiobook/B002UZZ93G/ref=a_adblbests_c2_7_t/147-7907289-7449118?ie=UTF8&pf_rd_r=00A6ZDXSH80SS75993GB&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
7,6.0,5.0,6.0,5.0,6.0,5.0,3.0,5.0,Larry Correia,Sci-Fi & Fantasy,932,Oliver Wyman,29.95,Unabridged,Audible Studios,2017-08-01,"Series: Monster Hunter, Book 6",Fantasy: Paranormal,"Monster Hunter Siege: Monster Hunter, Book 6",http://www.audible.com/pd/Sci-Fi-Fantasy/Monster-Hunter-Siege-Audiobook/B0744MBFH3/ref=a_adblbests_c2_8_t/147-7907289-7449118?ie=UTF8&pf_rd_r=00A6ZDXSH80SS75993GB&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
8,10207.0,4.8,10207.0,4.8,10207.0,4.8,343.0,4.8,"Kevin Hart , Neil Strauss - contributor",Comedy,674,Kevin Hart,29.95,Unabridged,Audible Studios,2017-06-06,,Memoirs,I Can't Make This Up: Life Lessons,http://www.audible.com/pd/Comedy/I-Cant-Make-This-Up-Audiobook/B06VX4GHHG/ref=a_adblbests_c2_9_t/147-7907289-7449118?ie=UTF8&pf_rd_r=00A6ZDXSH80SS75993GB&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
9,7946.0,4.6,7946.0,4.6,7946.0,4.6,315.0,4.6,Mel Robbins,Self Development,457,Mel Robbins,19.95,Unabridged,Mel Robbins Productions Inc.,2017-02-22,,Motivation & Inspiration,"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage",http://www.audible.com/pd/Self-Development/The-5-Second-Rule-Audiobook/B06VX22V89/ref=a_adblbests_c2_10_t/147-7907289-7449118?ie=UTF8&pf_rd_r=00A6ZDXSH80SS75993GB&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
