0-core-client (1.1.0a5)                                                 - Zero-OS 0-core client
0-orchestrator (1.1.0a5)                                                - Zero-OS Orchestrator
isi-sdk-8-0-1 (0.1.7)                                                   - Isilon SDK
isi-sdk-8-0 (0.1.7)                                                     - Isilon SDK
django-private-files-0.1.2 (0.1.2)                                      - Protected files in django
vertica-sqlalchemy-0.2 (0.2)                                            - Vertica dialect for sqlalchemy
PLUIE-new-realease-0.5 (0.5)                                            - a GUI for Python, via IE with Pywin32
Yamlog-0.9 (0.9)                                                        - Logging in YAML format
OMSTD-ch-001 (0.1.1)                                                    - OMSTD CH-001 study case: cracking MD5 password using online resolver services.
OMSTD-hh-001 (0.1.3)                                                    - OMSTD HH-001 study case: High performance TCP port scanner nmap friendly.
pyrpm-02strich (0.5.7)                                                  - A pure python rpm reader and YUM metadata generator
Flask-User-05 (0.5)                                                     - Customizable User Account Management for Flask: Register, Confirm email, Login, Change username, Change password, Forgot password and more.
0x10c-asm (0.0.2)                                                       - A simple Python-based DCPU assembly compiler
test-install-1 (1.0.0)                                                  - this is to test the pip install
iso-3166-1 (0.0.3)                                                      - ISO 3361-1 Country code package for Python
django-sparkle-1.5 (0.2)                                                - Django-sparkle is a Django application to make it easy to publish updates for your mac application using sparkle (intended for Django >= 1.5)
sample-test-101 (1.2.0)                                                 - A sample Python project
115wangpan (0.7.6)                                                      - Unofficial Python API wrapper for 115.com
topper-123-engarde (0.3.3)                                              - A python package for defensive data analysis.
mod-oled-128x64 (0.0.4)                                                 - Control module for MOD-OLED-128x64
12factor-vault (0.1.15)                                                 - Helper classes to integrate Django and other projects with Vault
ortools-ubuntu-14.04 (6.2.4388)                                         - Google OR-Tools python libraries and modules
py3-ortools-ubuntu-14.04 (6.2.4388)                                     - Google OR-Tools python libraries and modules
15five-django-ajax-selects (1.5.2.155)                                  - Edit ForeignKey, ManyToManyField and CharField in Django Admin using jQuery UI AutoComplete.
py3-ortools-ubuntu-16.04 (6.2.4388)                                     - Google OR-Tools python libraries and modules
ortools-ubuntu-16.04 (6.2.4388)                                         - Google OR-Tools python libraries and modules
ortools-ubuntu-17.04 (6.2.4388)                                         - Google OR-Tools python libraries and modules
py3-ortools-ubuntu-17.04 (6.2.4388)                                     - Google OR-Tools python libraries and modules
17MonIP (0.2.7)                                                         - IP search based on 17mon.cn, the best IP database for China.
django-18-fast-migrations (0.1.1)                                       - Fast migrations from Django 1.10 backported into Django 1.8
1and1 (1.2.0)                                                           - 1&1 API Client Library for Python
1pass (0.2.1)                                                           - A Python library and command line interface for 1Password
1to001 (0.3.0)                                                          - Padding numbers in filenames automatically
lab-work-2 (0.1.0)                                                      - Lab works number 2 on python.
Sphinx-PyPI-upload-2 (0.2.2)                                            - Setuptools command for uploading Sphinx documentation to the PyPI
memoize-2 (0.1.0)                                                       - UNKNOWN
nosehtmloutput-2 (1.0)                                                  - Nose plugin to produce test results in html.
django-image-tools-2 (v1.0)                                             - Image tools for Django
python-instagram-2 (1.3.3b0)                                            - Instagram API client
context-io-2 (2.0.1)                                                    - I did not create this package; I'm just adding it to pypi.  It's already freely available on GitHub.
django-mailer-2 (1.3.3)                                                 - A reusable Django app for queueing the sending of email (forked of APSL/django-mailer-2, which is unmaintained)
django-bootstrap3-datetimepicker-2 (2.4.2)                              - Bootstrap3 compatible datetimepicker for Django projects.
django-twilio-sms-2 (1.0.2)                                             - Twilio integration for SMS-based Django apps
socketIO-client-2 (0.7.4)                                               - A socket.io client library
isi-sdk-7-2 (0.1.7)                                                     - Isilon SDK
django-maintenancemode-2 (1.1.7)                                        - Database-driven way to put your Django site into maintenance mode.
scalyr-agent-2 (2.0.27)                                                 - The Python modules that implements Scalyr Agent 2
geopy.jp-2.7 (0.1.0)                                                    - Geocoding library for Python.
mstranslator-2016 (1.0.0)                                               - Python wrapper to consume Microsoft translator API
curses-2048 (1.4)                                                       - 2048 implementation with python and ncurses
python-2048a (0.0.0)                                                    - A game engine for 2048
redsys-256 (0.2.3)                                                      - Generates Redsys form parameters with new hmac sha256 encryption protocol.
Office365Api-27 (0.0.7)                                                 - Python library for working with Microsoft Office 365
2C.py (02 Jun 2010)                                                     - Python-to-C compiler for CPython 2.6
django-allauth-2fa (0.4.4)                                              - Adds two factor authentication to django-allauth
2factorcli (1.1.3)                                                      - This is a simple python program to allow you to store and  generate time-based one-time passwords in a GPG encrypted vault.
2gis (1.3.1)                                                            - 2gis library for Python
2or3 (0.1.0)                                                            - Writes a single byte to stdout (either "2" or "3") classifying a Python file using heuristics, giving priority to 3 if unclear
semantria-sdk-2x (3.8.79)                                               - Semantria Python SDK
Github-API-3-Wrapper-for-Python (0.0.1)                                 - Github API 3 Wrapper for Python
torweb-for-3 (0.1.10)                                                   - torweb
require-python-3 (1)                                                    - Makes your script require python 3
